department,sub_department,department_id,category,sub_category,micro_category,title,description,skill_code,related_skills,bussiness_links,custom_tags,proficiency_level,assesment_method,certification_qualifications,experience_project,skill_status,skill_importance,legal_compliance_relevance,sop_practice_link,performance_metrics,common_errors_tips,sme_contacts,sub_skills,skill_flow,tasklist,status,approve_status,sub_institute_id,created_by,created_at,proficiency_level_encoded,related_skills_parsed
Tax,Tax,849.0,compliance & regulatory skills,legal compliance skills,Taxation,Tax Compliance,Evaluate tax computations and systems to ensure compliance with statutory tax obligations,ACC-TAX-3002-1.1,"[""Tax Filing"",""GST Compliance"",""Audit Preparation""]",https://en.wikipedia.org/wiki/Tax_compliance,"[""Tax Compliance"",""Filing"",""Audit""]",4.0,"Compliance audits,Return filing tests","GST Practitioner Certification,Chartered Accountant",Managing monthly GST filings for a retail chain,High-demand,High,"Mandatory compliance with GST Act,Income Tax Act,and periodic filings",https://www.gst.gov.in,"Filing accuracy,Timeliness,Penalty avoidance","Missing deadlines,Calculation errors","Tax Accountant,Compliance Officer","Accounting,Law Knowledge","Prepare documents,Compute liabilities,File returns,Respond to notices","Calculate taxes,File returns,Maintain records",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Tax Filing', 'GST Compliance', 'Audit Preparation']"
Financial Accounting,Financial Accounting,841.0,functional skills,job-role-specific skills,Taxation,Tax Computation,"Compute Goods and Services Tax, and tax liabilities",ACC-TAX-3003-1.1,"[""GST Calculation"",""Tax Liability Assessment"",""Direct Tax""]",https://en.wikipedia.org/wiki/Taxation_in_India,"[""Tax Computation"",""Calculation"",""Assessment""]",3.0,"Calculation tests,Scenario analysis","Chartered Accountant,GST Certification",Computing tax liabilities for e-commerce businesses,High-demand,High,Must follow prescribed methods under Income Tax Act and GST laws,https://www.cbic.gov.in,"Computation accuracy,Time taken","Incorrect application of rates,Input credit errors","Tax Analyst,Accountant","Numerical Skills,Law Knowledge","Gather data,Apply rates,Calculate,Verify","Compute GST,Calculate income tax,Prepare challans",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['GST Calculation', 'Tax Liability Assessment', 'Direct Tax']"
Financial Accounting,Financial Accounting,841.0,functional skills,job-role-specific skills,Taxation,Tax Implications,Assess tax implication of changes in tax laws,ACC-TAX-3004-1.1,"[""Tax Impact Analysis"",""Legislative Monitoring"",""Compliance Review""]",https://en.wikipedia.org/wiki/Tax_law,"[""Tax Implications"",""Law Analysis"",""Impact Assessment""]",4.0,"Legislative change tests,Impact analysis reports","Chartered Accountant,Law Degree",Assessing GST impact on new business verticals,High-demand,High,Requires continuous monitoring of CBDT and CBIC notifications,https://www.taxmann.com,"Impact assessment accuracy,Advisory quality","Delayed analysis,Overlooking nuances","Tax Lawyer,CA","Legal Research,Analysis","Monitor changes,Analyze impact,Advise stakeholders,Update systems","Track notifications,Assess effects,Update compliance",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Tax Impact Analysis', 'Legislative Monitoring', 'Compliance Review']"
Tax,Tax,849.0,functional skills,job-role-specific skills,Taxation,Tax Controversy Management,"Respond to tax queries from the authorities with completeness, relevance and accuracy",ACC-TAX-3005-1.1,"[""Tax Litigation"",""Appeal Filing"",""Legal Representation""]",https://en.wikipedia.org/wiki/Tax_avoidance,"[""Tax Controversy"",""Dispute Resolution"",""Litigation""]",5.0,"Mock assessments,Legal case studies","Chartered Accountant,Tax Lawyer",Handling income tax scrutiny assessments,High-demand,High,"Involves representation before ITAT,CESTAT as per respective procedures",https://www.itat.nic.in,"Case success rate,Time to resolution","Poor documentation,Missed deadlines","Tax Advocate,CA","Legal Procedures,Documentation","Receive notice,Prepare response,Represent,Resolve","Draft replies,Attend hearings,File appeals",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Tax Litigation', 'Appeal Filing', 'Legal Representation']"
Tax,Tax,849.0,compliance & regulatory skills,legal compliance skills,Taxation,Tax Risk Management,Review tax risk frameworks to ensure risks are minimised and managed properly,ACC-TAX-3006-1.1,"[""Risk Assessment"",""Internal Controls"",""Compliance Monitoring""]",https://en.wikipedia.org/wiki/Risk_management,"[""Tax Risk"",""Compliance"",""Controls""]",4.0,"Risk audits,Control testing","Certified Internal Auditor,Chartered Accountant",Implementing tax control frameworks in manufacturing,High-demand,High,Essential for corporate governance and SEBI listing requirements,https://www.icai.org,"Risk mitigation,Control effectiveness","Inadequate controls,Poor monitoring","Risk Manager,Internal Auditor","Auditing,Risk Assessment","Identify risks,Assess,Implement controls,Monitor","Conduct risk reviews,Test controls,Report deficiencies",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Risk Assessment', 'Internal Controls', 'Compliance Monitoring']"
Assurance,Assurance,838.0,compliance & regulatory skills,legal compliance skills,Taxation,Taxation Laws,Analyse impact of evolving tax legislation on business environment,ACC-TAX-3007-1.1,"[""Legislative Analysis"",""Compliance Advisory"",""Legal Interpretation""]",https://en.wikipedia.org/wiki/Tax_law,"[""Taxation Laws"",""Legislation"",""Compliance""]",5.0,"Legislative exams,Advisory reports","Chartered Accountant,LLB in Taxation",Analyzing GST amendments for financial services,High-demand,High,Requires expertise in Indian tax jurisprudence and case laws,https://www.indiacode.nic.in,"Interpretation accuracy,Advisory quality","Misinterpretation,Ignoring precedents","Tax Lawyer,CA","Legal Research,Judgment Analysis","Study laws,Analyze changes,Advise,Update","Research case laws,Interpret statutes,Advise clients",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Legislative Analysis', 'Compliance Advisory', 'Legal Interpretation']"
Financial Accounting,Financial Accounting,841.0,functional skills,job-role-specific skills,Taxation,Transfer Pricing,Determine the price for goods and services at which different divisions of a company transact with each other,ACC-TAX-3008-1.1,"[""Arms Length Principle"",""Documentation"",""International Taxation""]",https://en.wikipedia.org/wiki/Transfer_pricing,"[""Transfer Pricing"",""International Tax"",""Documentation""]",5.0,"Documentation reviews,Benchmarking analysis","Transfer Pricing Certification,Chartered Accountant",Preparing transfer pricing documentation for IT services,High-demand,High,Mandatory compliance with Income Tax Act and CBDT transfer pricing rules,https://www.incometaxindia.gov.in,"Documentation quality,Adjustment avoidance","Inadequate documentation,Poor benchmarking","Transfer Pricing Analyst,CA","Economic Analysis,Documentation","Analyze transactions,Benchmark,Prepare docs,File","Study comparables,Prepare reports,Maintain records",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Arms Length Principle', 'Documentation', 'International Taxation']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Aerospace Maintenance Practices Application,"Perform aircraft maintenance practices in accordance with applicable technical manuals and organisational procedures. This includes application of safety practices on aircraft, hangar and workshop facilities, use of appropriate tools, equipment and methods and interpretation of engineering drawings",AER-ACO-2012-1.1,"[""Aircraft Maintenance"",""Safety Procedures"",""Technical Manuals""]",https://en.wikipedia.org/wiki/Aircraft_maintenance,"[""Aircraft Maintenance"",""Safety"",""Technical""]",4.0,"Practical tests,Manual comprehension","DGCA AME License,ATA Certification",Performing line maintenance for domestic airlines,High-demand,High,Must comply with DGCA CAR Section 2 and aircraft manuals,https://www.dgca.gov.in,"Maintenance accuracy,Safety compliance","Deviation from manuals,Improper tool use","AME,Maintenance Manager","Technical Knowledge,Safety Procedures","Review manual,Prepare,Execute,Verify","Inspect aircraft,Use tools,Follow procedures",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Aircraft Maintenance', 'Safety Procedures', 'Technical Manuals']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Human Factors Application and Error Management,"Apply human factors and error management in aviation context. This includes understanding of human limitations and errors, organisational factors and working environment that might contribute to incidents and accidents",AER-ACO-2019-1.1,"[""Human Performance"",""Safety Management"",""Error Reduction""]",https://en.wikipedia.org/wiki/Human_factors_and_ergonomics,"[""Human Factors"",""Safety"",""Error Management""]",4.0,"Safety audits,Incident analysis",DGCA Human Factors Certification,Implementing error reporting systems in MRO,Emerging,High,Part of DGCA SMS requirements under CAR Section 1,https://www.dgca.gov.in,"Incident reduction,Safety culture","Ignoring human limits,Poor reporting","Safety Officer,Human Factors Specialist","Psychology,Aviation Safety","Identify factors,Analyze errors,Implement measures,Train","Conduct surveys,Analyze incidents,Train staff",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Human Performance', 'Safety Management', 'Error Reduction']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Aerodynamics Principles Application,Apply and use principles of aerodynamics to optimise and solve problems related to aircraft performance and flight safety,AER-ACO-3011-1.1,"[""Aerodynamics"",""Flight Performance"",""Stability Analysis""]",https://en.wikipedia.org/wiki/Aerodynamics,"[""Aerodynamics"",""Performance"",""Stability""]",5.0,"Theoretical exams,Simulation exercises","B.E. Aerospace,AME License",Optimizing aircraft performance for airlines,High-demand,Medium,General engineering skill,https://www.nasa.gov,"Performance improvement,Fuel efficiency","Incorrect calculations,Overlooking factors","Aerodynamics Engineer,Flight Operations","Physics,Mathematics","Study principles,Apply to design,Test,Optimize","Calculate performance,Analyze data,Recommend modifications",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Aerodynamics', 'Flight Performance', 'Stability Analysis']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Aerospace Materials and Hardware Selection,"Select appropriate aerospace materials and hardware for maintenance, repair, overhaul or manufacturing of aircrafts in accordance with applicable original equipment manufacturer (OEM) manuals and organisational procedures",AER-ACO-3013-1.1,"[""Material Science"",""Hardware Standards"",""Corrosion Control""]",https://en.wikipedia.org/wiki/Aerospace_materials,"[""Materials"",""Hardware"",""Selection""]",4.0,"Material tests,Selection exercises","AME License,Material Science Certification",Selecting materials for aircraft interior modifications,High-demand,High,Must use DGCA-approved materials and processes,https://www.dgca.gov.in,"Material suitability,Compliance","Using unapproved materials,Ignoring environment","Materials Engineer,Design Engineer","Material Knowledge,Standards","Identify requirements,Research options,Select,Approve","Check manuals,Select materials,Ensure approval",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Material Science', 'Hardware Standards', 'Corrosion Control']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,digital-technology related skills,Aerospace and Engineering Fundamentals,Digital Techniques Application,"Apply and use principles of digital techniques and electronic instrument systems for maintenance, repair, overhaul or manufacturing of aircraft systems",AER-ACO-3014-1.1,"[""Avionics"",""Digital Systems"",""Electronics""]",https://en.wikipedia.org/wiki/Avionics,"[""Digital Systems"",""Avionics"",""Electronics""]",4.0,"System diagnostics,Practical tests",AME Avionics License,Troubleshooting digital flight instruments,Emerging,High,Must follow OEM manuals and DGCA guidelines,https://www.dgca.gov.in,"System reliability,Diagnostic accuracy","Incorrect calibration,Software errors","Avionics Engineer,Technician","Electronics,Software","Understand system,Diagnose,Repair,Test","Calibrate instruments,Update software,Troubleshoot",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Avionics', 'Digital Systems', 'Electronics']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Electrical Fundamentals Application,"Apply and use electrical fundamentals for maintenance, repair, overhaul or manufacturing of aircraft electrical and power generation systems",AER-ACO-3015-1.1,"[""Aircraft Electrical Systems"",""Power Generation"",""Wiring""]",https://en.wikipedia.org/wiki/Aircraft_electrical_system,"[""Electrical Systems"",""Power"",""Wiring""]",4.0,"Electrical tests,Circuit analysis",AME Electrical License,Maintaining aircraft generators and transformers,High-demand,High,Must comply with DGCA CAR and aircraft electrical standards,https://www.dgca.gov.in,"System uptime,Safety","Short circuits,Overloading","Electrical Engineer,Technician","Electrical Theory,Practical Skills","Analyze circuits,Test components,Repair,Verify","Test generators,Repair wiring,Inspect systems",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Aircraft Electrical Systems', 'Power Generation', 'Wiring']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Electronic Fundamentals Application,"Apply and use principles of electronics for maintenance, repair, overhaul or manufacturing of aircraft electronics and related systems",AER-ACO-3016-1.1,"[""Aircraft Electronics"",""Circuit Design"",""Component Testing""]",https://en.wikipedia.org/wiki/Avionics,"[""Electronics"",""Circuits"",""Testing""]",4.0,"Circuit tests,Component diagnostics",AME Avionics License,Repairing radar and communication systems,High-demand,High,Requires DGCA approval for avionics work,https://www.dgca.gov.in,"Repair quality,System performance","Soldering errors,Component mismatch","Avionics Technician,Engineer","Electronics,Diagnostics","Test circuits,Identify faults,Replace,Test","Diagnose faults,Replace components,Calibrate",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Aircraft Electronics', 'Circuit Design', 'Component Testing']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Gas Turbine Engine Principles Application,"Apply and use principles of gas turbine engines for maintenance, repair, overhaul or manufacturing of aircraft engines and related systems in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",AER-ACO-3017-1.1,"[""Turbine Engines"",""Performance Analysis"",""Maintenance""]",https://en.wikipedia.org/wiki/Gas_turbine,"[""Turbine Engines"",""Performance"",""Maintenance""]",5.0,"Engine runs,Diagnostic tests",AME Engine License,Overhauling jet engines for airlines,High-demand,High,Strict adherence to DGCA and OEM engine manuals,https://www.dgca.gov.in,"Engine reliability,Efficiency","Incorrect clearances,Improper balancing","Engine Engineer,Technician","Thermodynamics,Mechanics","Inspect,Disassemble,Repair,Assemble","Perform borescope,Replace parts,Balance rotors",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Turbine Engines', 'Performance Analysis', 'Maintenance']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,"Helicopter Aerodynamics, Structures and Systems Principles Application","Apply and use principles of helicopter aerodynamics, structures and systems for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",AER-ACO-3018-1.1,"[""Helicopter Dynamics"",""Rotor Systems"",""Maintenance""]",https://en.wikipedia.org/wiki/Helicopter,"[""Helicopter"",""Dynamics"",""Rotor Systems""]",5.0,"System tests,Flight controls",AME Helicopter License,Maintaining helicopter rotor and transmission systems,High-demand,High,DGCA CAR specific to helicopters and OEM manuals,https://www.dgca.gov.in,"System reliability,Safety","Blade tracking errors,Gear issues","Helicopter Engineer,Technician","Rotor Dynamics,Systems","Inspect systems,Test controls,Maintain,Record","Balance rotors,Inspect gears,Test systems",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Helicopter Dynamics', 'Rotor Systems', 'Maintenance']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,"Piston Aeroplane Aerodynamics, Structures and Systems Principles Application","Apply and use principles of piston aeroplane aerodynamics, structures and systems for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",AER-ACO-3020-1.1,"[""Piston Aircraft"",""Structures"",""Systems""]",https://en.wikipedia.org/wiki/Piston_engine,"[""Piston Aircraft"",""Structures"",""Systems""]",4.0,"System checks,Performance tests",AME Piston License,Maintaining small training aircraft,High-demand,Medium,DGCA CAR and OEM manuals for piston aircraft,https://www.dgca.gov.in,"Aircraft availability,Safety","Carburetor issues,Ignition faults","Aircraft Engineer,Technician","Piston Engines,Airframes","Inspect airframe,Maintain engine,Test,Certify","Service engine,Repair structure,Test systems",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Piston Aircraft', 'Structures', 'Systems']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Piston Engine Principles Application,"Apply and use principles of piston engines for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",AER-ACO-3021-1.1,"[""Piston Engines"",""Overhaul"",""Performance""]",https://en.wikipedia.org/wiki/Piston_engine,"[""Piston Engines"",""Overhaul"",""Performance""]",4.0,"Engine disassembly,Performance testing",AME Piston Engine License,Overhauling aircraft piston engines,High-demand,Medium,DGCA standards for piston engine maintenance,https://www.dgca.gov.in,"Engine performance,Overhaul quality","Improper tolerances,Ignoring wear","Engine Technician,Mechanic","Mechanics,Measurement","Disassemble,Inspect,Repair,Test","Measure parts,Replace components,Test run",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Piston Engines', 'Overhaul', 'Performance']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Propeller Principles Application,"Apply and use principles of propeller theory for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",AER-ACO-3022-1.1,"[""Propeller Theory"",""Balancing"",""Maintenance""]",https://en.wikipedia.org/wiki/Propeller,"[""Propeller"",""Balancing"",""Maintenance""]",4.0,"Balance tests,Blade inspection",AME Propeller Certification,Balancing and maintaining aircraft propellers,High-demand,Medium,DGCA and OEM propeller maintenance standards,https://www.dgca.gov.in,"Vibration levels,Performance","Imbalance,Blade damage","Propeller Technician,Engineer","Aerodynamics,Mechanics","Inspect blades,Balance,Install,Test","Check blades,Balance propeller,Install",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Propeller Theory', 'Balancing', 'Maintenance']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Propulsion Principles Application,"Apply and use principles of propulsion for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",AER-ACO-3023-1.1,"[""Propulsion Systems"",""Performance"",""Integration""]",https://en.wikipedia.org/wiki/Propulsion,"[""Propulsion"",""Systems"",""Integration""]",5.0,"System analysis,Integration tests","B.E. Aerospace,AME License",Integrating new propulsion systems in aircraft,High-demand,High,DGCA certification required for propulsion modifications,https://www.dgca.gov.in,"System efficiency,Integration success","Incompatibility,Performance loss","Propulsion Engineer,Designer","Thermodynamics,Systems Engineering","Design integration,Test,Certify","Analyze performance,Coordinate installation,Test",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Propulsion Systems', 'Performance', 'Integration']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,"Turbine Aeroplane Aerodynamics, Structures and Systems Principles Application","Apply and use principles of turbine aeroplane aerodynamics, structures and systems for maintenance, repair, overhaul or manufacturing in accordance with the original equipment manufacturer (OEM) manuals and organisational procedures",AER-ACO-3024-1.1,"[""Jet Aircraft"",""Structures"",""Systems""]",https://en.wikipedia.org/wiki/Jet_aircraft,"[""Jet Aircraft"",""Structures"",""Systems""]",5.0,"System checks,Structural tests",AME Jet Aircraft License,Maintaining jet airframe and systems,High-demand,High,DGCA CAR and OEM manuals for jet aircraft,https://www.dgca.gov.in,"Airworthiness,System reliability","Crack missed,System malfunction","Aircraft Engineer,Inspector","Structures,Systems","Inspect structure,Test systems,Document","Perform inspections,Troubleshoot systems,Certify",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Jet Aircraft', 'Structures', 'Systems']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Mathematical Concepts Application,Apply mathematical concepts to solve engineering problems,AER-SYS-2009-1.1,"[""Engineering Mathematics"",""Calculations"",""Problem Solving""]",https://en.wikipedia.org/wiki/Engineering_mathematics,"[""Mathematics"",""Calculations"",""Engineering""]",3.0,"Math tests,Problem-solving",B.E. Engineering,Solving engineering problems in design,Basic,Medium,General skill,https://www.khanacademy.org,"Calculation accuracy,Problem-solving","Computation errors,Incorrect formulas","Design Engineer,Analyst","Algebra,Calculus","Understand problem,Formulate,Compute,Verify","Perform calculations,Analyze results,Apply",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Engineering Mathematics', 'Calculations', 'Problem Solving']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Physics Concepts Application,Apply physics concepts to solve engineering problems,AER-SYS-2010-1.1,"[""Physics"",""Mechanics"",""Thermodynamics""]",https://en.wikipedia.org/wiki/Physics,"[""Physics"",""Mechanics"",""Thermodynamics""]",3.0,"Physics tests,Application exercises",B.E. Engineering,Applying physics in aircraft design,Basic,Medium,General skill,https://www.khanacademy.org,"Application accuracy,Problem-solving","Misapplied principles,Ignoring factors","Design Engineer,Physicist","Mechanics,Dynamics","Study principles,Apply,Test,Refine","Solve problems,Simulate,Test",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Physics', 'Mechanics', 'Thermodynamics']"
Aircraft Engine / Component Maintenance,Aircraft Engine / Component Maintenance,850.0,technical skills,industry-specific skills,Aerospace and Engineering Fundamentals,Workshop Practices Application,"Operate general workshop tools, equipment and materials in compliance with workplace safety and health requirements at the operational level and validate the work done in accordance with applicable technical manuals and organisational procedures.",AER-WSH-1091-1.1,"[""Workshop Safety"",""Tool Usage"",""Material Handling""]",https://en.wikipedia.org/wiki/Workshop,"[""Workshop"",""Safety"",""Tools""]",3.0,"Practical tests,Safety audits","ITI Certification,Workshop Safety Training",Operating workshop machinery in aviation,High-demand,High,Must follow DGCA and factory act safety norms,https://www.dgca.gov.in,"Safety compliance,Work quality","Safety violations,Improper tool use","Workshop Supervisor,Technician","Tool Knowledge,Safety","Plan work,Use tools,Follow safety,Inspect","Operate machines,Handle materials,Maintain tools",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Workshop Safety', 'Tool Usage', 'Material Handling']"
Aircraft Maintenance,Aircraft Maintenance,851.0,technical skills,industry-specific,Aircraft Maintenance,Aircraft Cabin Equipment and Furnishing Maintenance,"Maintain and repair aircraft cabin equipment and furnishing using appropriate resources and conduct functional checks after maintenance work. This includes maintenance of aircraft upholstery, cabin components and cabin furnishing installations.",AER-ACO-1025-1.1,"[""Aircraft Upholstery"",""Cabin Component Repair"",""Functional Testing""]",https://en.wikipedia.org/wiki/Aircraft_maintenance,"[""Aircraft Cabin"",""Furnishing"",""Maintenance""]",3.0,"Practical Assessment, Written Exam","DGCA AME License, Aircraft Maintenance Engineering",Maintaining cabin interiors for domestic airlines like IndiGo or SpiceJet.,High-demand,High,Compliance with DGCA CAR M and CAR 145 regulations for aircraft maintenance.,https://www.dgca.gov.in/digigov-portal/,"Maintenance Turnaround Time, Defect Rectification Rate, Compliance Audit Score","Incorrect fastener installation, Use of non-approved materials, Inadequate functional testing","Aircraft Maintenance Engineer, Cabin Maintenance Supervisor","Upholstery Repair, Component Installation, Safety Compliance","Inspect cabin components, Identify defects, Perform repairs, Conduct functional tests, Document work.","Inspect seats, Repair galley equipment, Replace carpets, Test emergency equipment, Update maintenance logs.",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Aircraft Upholstery', 'Cabin Component Repair', 'Functional Testing']"
Aircraft Maintenance,Aircraft Maintenance,851.0,technical skills,industry-specific,Aircraft Maintenance,Aircraft Communication Systems Maintenance,"Maintain aircraft communication systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of radio and audio communication systems, radio emergency and reporting systems, and in-flight entertainment systems.",AER-ACO-1026-1.1,"[""Avionics"",""Radio Systems"",""In-Flight Entertainment""]",https://en.wikipedia.org/wiki/Avionics,"[""Communication Systems"",""Avionics"",""Functional Test""]",4.0,"Simulator Test, On-the-Job Evaluation","DGCA AME Avionics License, B1/B2 Certification",Maintaining communication systems for Air India or Vistara fleet.,High-demand,High,Must adhere to DGCA and international standards like FAA/EASA for avionic systems.,https://www.dgca.gov.in/digigov-portal/,"System Uptime, Mean Time Between Failures, Test Accuracy","Faulty wiring, Calibration errors, Software glitches","Avionics Engineer, Senior Aircraft Technician","Radio Maintenance, Audio System Check, IFE Troubleshooting","Diagnose system fault, Check wiring, Replace component, Calibrate system, Perform functional test.","Troubleshoot radio, Test intercom, Update software, Inspect antennas, Record findings.",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Avionics', 'Radio Systems', 'In-Flight Entertainment']"
Aircraft Maintenance,Aircraft Maintenance,851.0,technical skills,industry-specific,Aircraft Maintenance,Aircraft Electrical Systems Maintenance,Maintain aircraft electrical systems using appropriate resources and conduct functional tests after maintenance work. This includes checking of electrical installations and maintenance of electrical power and lighting systems.,AER-ACO-1027-1.1,"[""Electrical Installation"",""Power Systems"",""Lighting Systems""]",https://en.wikipedia.org/wiki/Aircraft_electrical_system,"[""Electrical Systems"",""Power Distribution"",""Lighting""]",4.0,"Practical Wiring Test, Circuit Analysis","DGCA AME License (Electrical), Aircraft Electrical Certification",Working on electrical systems of aircraft in Indian MROs.,High-demand,High,Governed by DGCA CAR M for electrical safety and airworthiness.,https://www.dgca.gov.in/digigov-portal/,"Voltage Stability, Load Test Results, Inspection Compliance","Short circuits, Overloading, Poor grounding","Aircraft Electrical Engineer, Licensed AME","Wiring Harnessing, Circuit Testing, Power Management","Check electrical diagrams, Test circuits, Repair faults, Verify power output, Sign off.","Inspect generators, Test batteries, Repair lights, Check wiring, Update logs.",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Electrical Installation', 'Power Systems', 'Lighting Systems']"
Aircraft Maintenance,Aircraft Maintenance,851.0,technical skills,industry-specific,Aircraft Maintenance,Aircraft Fuel and Engine Systems Maintenance,"Maintain aircraft fuel and engine systems using appropriate resources and conduct functional tests after maintenance work. This includes maintenance of engine fire protection systems, aircraft fuel systems, engine controls and indication systems, and auxiliary power units.",AER-ACO-1028-1.1,"[""Engine Controls"",""Fuel Systems"",""APU Maintenance""]",https://en.wikipedia.org/wiki/Aircraft_engine,"[""Fuel Systems"",""Engine Maintenance"",""APU""]",5.0,"Engine Run-Up Test, Component Inspection","DGCA B1 License, Engine Type Rating",Engine maintenance for airlines like GoAir or Air India Express.,High-demand,High,Strict compliance with DGCA and OEM manuals for engine safety.,https://www.dgca.gov.in/digigov-portal/,"Fuel Efficiency, Engine Performance, Leak Tests","Fuel contamination, Seal leaks, Ignition faults","Engine Overhaul Specialist, B1 Licensed Engineer","Fuel Line Inspection, Engine Diagnostics, Fire Protection Systems","Inspect engine, Test fuel lines, Check APU, Perform leak test, Record data.","Service fuel pumps, Test fire systems, Inspect engine mounts, Calibrate controls.",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Engine Controls', 'Fuel Systems', 'APU Maintenance']"
