department,sub_department,department_id,category,sub_category,micro_category,title,description,skill_code,related_skills,bussiness_links,custom_tags,proficiency_level,assesment_method,certification_qualifications,experience_project,skill_status,skill_importance,legal_compliance_relevance,sop_practice_link,performance_metrics,common_errors_tips,sme_contacts,sub_skills,skill_flow,tasklist,status,approve_status,sub_institute_id,created_by,created_at,proficiency_level_encoded,related_skills_parsed,skill_importance_encoded
Business Valuation,Business Valuation,839.0,functional skills,valuation of interests,Financial and Transaction Management,Valuation of Different Classes of Interest,Perform valuation of different classes of interests,ACC-BVL-3004-1.1,"[""Equity Valuation"",""Interest Assessment"",""Value Determination""]",https://en.wikipedia.org/wiki/Equity_valuation,"[""Valuation of Interests"",""Equity Valuation"",""Classes""]",4.0,"Valuation Projects,Case Studies","CFA,Valuation Courses",Valuing different classes of business interests,High-demand,High,Securities and valuation regulations apply,https://www.investopedia.com/terms/e/equity.asp,"Valuation Accuracy,Class Appropriateness","Incorrect class treatment,Poor analysis","Valuation Specialist,Financial Analyst","Interest Identification,Valuation","Identify interests,Apply methods,Value","Classify interests,Value each class,Report",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Equity Valuation', 'Interest Assessment', 'Value Determination']",3.0
Business Valuation,Business Valuation,839.0,functional skills,valuation research,Financial and Transaction Management,Valuation Research and Analysis,Research and analyse information to arrive at a valuation conclusion,ACC-BVL-3005-1.1,"[""Research Methods"",""Data Analysis"",""Valuation Support""]",https://en.wikipedia.org/wiki/Valuation_(finance),"[""Valuation Research"",""Data Analysis"",""Support""]",4.0,"Research Projects,Analysis","CFA,Research Courses",Researching information for valuation conclusions,High-demand,Medium,Data accuracy and source reliability important,https://www.investopedia.com/,"Research Quality,Data Accuracy","Poor sources,Biased research","Research Analyst,Valuation Analyst","Data Gathering,Analysis","Collect data,Analyze,Support valuation","Gather market data,Analyze trends,Support valuation",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Research Methods', 'Data Analysis', 'Valuation Support']",2.0
Financial Accounting,Financial Accounting,841.0,functional skills,financial management,Financial and Transaction Management,Financial Management,Ensure healthy finance to aid business growth and operations,ACC-CFI-2002-1.1,"[""Finance Optimization"",""Business Growth"",""Operational Support""]",https://en.wikipedia.org/wiki/Financial_management,"[""Financial Management"",""Optimization"",""Growth Support""]",4.0,"Financial Analysis,Planning","CA,CMA",Managing finance for business operations,High-demand,High,Companies Act and financial regulations apply,https://www.icai.org/,"Financial Health,Growth Support","Poor cash management,Over-leverage","Finance Manager,CFO","Planning,Monitoring,Control","Plan finances,Monitor,Control costs","Prepare budgets,Manage cash flow,Optimize finance",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Finance Optimization', 'Business Growth', 'Operational Support']",3.0
General Management,General Management,857.0,functional skills,treasury management,Financial and Transaction Management,Treasury Management,Balance and optimise the organisation's cash needs and cash balances and determine the optimal financing of working capital,ACC-CFI-2004-1.1,"[""Cash Management"",""Working Capital"",""Financing Optimization""]",https://en.wikipedia.org/wiki/Treasury_management,"[""Treasury Management"",""Cash Optimization"",""Financing""]",4.0,"Cash Flow Projects,Analysis","CTM,Treasury Courses",Managing organizational treasury and cash,High-demand,High,RBI and treasury regulations apply,https://www.treasurers.org/,"Liquidity Management,Cost Optimization","Poor forecasting,Ignoring risks","Treasury Manager,CFO","Cash Forecasting,Management","Forecast cash,Manage balances,Optimize financing","Project cash flow,Manage working capital,Arrange financing",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Cash Management', 'Working Capital', 'Financing Optimization']",3.0
Mergers and Acquisitions,Mergers and Acquisitions,846.0,functional skills,fundraising,Financial and Transaction Management,Valuation,Perform valuation for business and financial assets for deal structuring,ACC-CFI-2005-1.1,"[""Capital Raising"",""Investor Relations"",""Financing Strategies""]",https://en.wikipedia.org/wiki/Fundraising,"[""Fundraising"",""Capital Raising"",""Investor Relations""]",4.0,"Fundraising Plans,Presentations",Investment Banking Courses,Raising funds for business growth,High-demand,High,SEBI and fundraising regulations apply,https://www.investopedia.com/terms/f/fundraising.asp,"Funds Raised,Investor Satisfaction","Poor pitches,Incorrect valuation","Investment Banker,Fund Manager","Investor Identification,Pitching","Identify investors,Prepare pitch,Close funding","Identify sources,Prepare proposals,Negotiate terms",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Capital Raising', 'Investor Relations', 'Financing Strategies']",3.0
Mergers and Acquisitions,Mergers and Acquisitions,846.0,functional skills,financial analysis,Financial and Transaction Management,Capital Raising,Acquire or raise capital and funds to carry out organisational goals and objectives,ACC-CFI-3001-1.1,"[""Financial Statement Analysis"",""Performance Evaluation"",""Insight Generation""]",https://en.wikipedia.org/wiki/Financial_analysis,"[""Financial Analysis"",""Statement Analysis"",""Performance""]",4.0,"Analysis Reports,Case Studies","CFA,Financial Analysis Courses",Analyzing financial statements for insights,High-demand,High,Accounting standards and analysis compliance,https://www.cfainstitute.org/,"Analysis Accuracy,Insight Usefulness","Incorrect ratios,Poor interpretation","Financial Analyst,Research Analyst","Ratio Analysis,Trend Analysis","Collect statements,Analyze ratios,Interpret trends","Calculate ratios,Analyze trends,Report findings",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Financial Statement Analysis', 'Performance Evaluation', 'Insight Generation']",3.0
General Management,General Management,857.0,functional skills,financial reporting,Financial and Transaction Management,Financial Closing,Carry out month-end closing and reconciliation to ensure financial records are maintained properly,ACC-CRP-2002-1.1,"[""Report Preparation"",""Disclosure Compliance"",""Accounting Standards""]",https://en.wikipedia.org/wiki/Financial_statement,"[""Financial Reporting"",""Disclosure"",""Accounting Standards""]",4.0,"Report Preparation,Review","CA,ACCA",Preparing financial statements and reports,High-demand,High,Companies Act and accounting standards apply,https://www.icai.org/,"Report Accuracy,Timeliness","Non-compliance,Poor disclosure","Accountant,Reporting Manager","Statement Preparation,Disclosure","Prepare statements,Ensure disclosure,File reports","Compile financial data,Prepare statements,File reports",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Report Preparation', 'Disclosure Compliance', 'Accounting Standards']",3.0
Financial Accounting,Financial Accounting,841.0,functional skills,financial controls,Financial and Transaction Management,Financial Reporting,Prepare general-purpose financial statements and disclosure notes in accordance with applicable financial reporting framework,ACC-CRP-2003-1.1,"[""Control Design"",""Implementation"",""Monitoring""]",https://en.wikipedia.org/wiki/Internal_control,"[""Financial Controls"",""Control Design"",""Monitoring""]",4.0,"Control Evaluation,Design","CA,CIA",Designing and implementing financial controls,High-demand,High,Internal control standards and regulations,https://www.icai.org/,"Control Effectiveness,Risk Reduction","Weak controls,Poor monitoring","Internal Auditor,Controls Manager","Risk Assessment,Control Implementation","Identify risks,Design controls,Implement,Monitor","Assess risks,Design controls,Test effectiveness",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Control Design', 'Implementation', 'Monitoring']",3.0
General Management,General Management,857.0,functional skills,financial systems,Financial and Transaction Management,Financial Transactions,Prepare business documentation and cash balances,ACC-CRP-2006-1.1,"[""System Implementation"",""Integration"",""Management""]",https://en.wikipedia.org/wiki/Financial_system,"[""Financial Systems"",""Implementation"",""Management""]",3.0,"System Projects,Integration","SAP Certification,Accounting Software",Implementing financial systems in organizations,High-demand,High,Compliance with accounting and tax systems,https://www.sap.com/,"System Efficiency,Integration Success","Poor implementation,Data issues","IT Manager,Financial Systems Analyst","Requirement Analysis,Implementation","Assess needs,Select system,Implement,Train","Evaluate systems,Implement software,Train users",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['System Implementation', 'Integration', 'Management']",3.0
Financial Accounting,Financial Accounting,841.0,functional skills,financial planning,Financial and Transaction Management,Financial Reporting Quality,Establish internal control framework for audit purposes,ACC-CRP-3004-1.1,"[""Budgeting"",""Forecasting"",""Resource Allocation""]",https://en.wikipedia.org/wiki/Financial_plan,"[""Financial Planning"",""Budgeting"",""Forecasting""]",4.0,"Plans,Budgets","CFP,Financial Planning Courses",Developing financial plans and budgets,High-demand,High,Corporate and regulatory planning requirements,https://www.fpsb.org/,"Plan Accuracy,Budget Adherence","Unrealistic assumptions,Poor allocation","Financial Planner,Finance Manager","Data Analysis,Plan Development","Gather data,Develop plan,Implement,Review","Prepare budgets,Forecast finances,Allocate resources",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Budgeting', 'Forecasting', 'Resource Allocation']",3.0
Internal Audit,Internal Audit,844.0,functional skills,tax compliance,Financial and Transaction Management,Financial Statements Analysis,Analyse financial statements in accordance with the applicable frameworks,ACC-CRP-3005-1.1,"[""Tax Filing"",""Regulatory Compliance"",""Tax Laws""]",https://en.wikipedia.org/wiki/Tax_law,"[""Tax Compliance"",""Filing"",""Regulatory Adherence""]",4.0,"Tax Returns,Compliance Checks","CA,Tax Certification",Ensuring compliance with tax regulations,High-demand,High,Income Tax Act and GST laws apply,https://www.incometaxindia.gov.in/,"Compliance Rate,Timeliness","Non-compliance,Missed deadlines","Tax Consultant,Compliance Officer","Law Research,Return Filing","Monitor laws,Prepare returns,File,Pay","Calculate taxes,Prepare returns,File with authorities",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Tax Filing', 'Regulatory Compliance', 'Tax Laws']",3.0
Financial Accounting,Financial Accounting,841.0,functional skills,tax advisory,Financial and Transaction Management,Transactional Accounting,Apply transactional accounting to record financial events,ACC-CRP-3009-1.1,"[""Tax Planning"",""Optimization"",""Compliance Advice""]",https://en.wikipedia.org/wiki/Tax_advisor,"[""Tax Advisory"",""Planning"",""Optimization""]",4.0,"Advisory Projects,Plans","CA,Tax Certification",Providing tax advice and planning services,High-demand,High,Tax laws and anti-avoidance regulations,https://www.icai.org/,"Tax Savings,Compliance Rate","Aggressive planning,Non-compliance","Tax Advisor,Consultant","Planning,Implementation","Analyze situation,Plan,Implement,Review","Analyze tax position,Recommend strategies,Implement",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Tax Planning', 'Optimization', 'Compliance Advice']",3.0
Assurance,Assurance,838.0,functional skills,tax reporting,Financial and Transaction Management,Accounting Standards,Apply financial reporting framework prescribed by the relevant governing body to ensure all transactions meet regulatory requirements,ACC-CRP-4001-1.1,"[""Report Preparation"",""Disclosure"",""Compliance""]",https://en.wikipedia.org/wiki/Tax_return,"[""Tax Reporting"",""Return Preparation"",""Disclosure""]",4.0,"Report Preparation,Filing","CA,Tax Certification",Preparing and filing tax returns and reports,High-demand,High,Tax laws and reporting deadlines apply,https://www.incometaxindia.gov.in/,"Report Accuracy,Timeliness","Errors,Missed deadlines","Tax Accountant,Reporting Officer","Data Collection,Return Preparation","Gather data,Prepare return,File","Collect information,Calculate tax,File return",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Report Preparation', 'Disclosure', 'Compliance']",3.0
Financial Accounting,Financial Accounting,841.0,functional skills,tax technology,Financial and Transaction Management,Group Accounting and Consolidation,Apply group accounting and consolidation of separate organisations to create a single entity,ACC-CRP-4007-1.1,"[""Software Implementation"",""Automation"",""Digital Tools""]",https://en.wikipedia.org/wiki/Tax_technology,"[""Tax Technology"",""Software"",""Automation""]",3.0,"Software Implementation,Automation",Tax Software Certification,Implementing tax technology solutions,Emerging,Medium,Compliance with digital tax filing requirements,https://www.ey.com/en_gl/tax/technology,"Efficiency Gain,Accuracy Improvement","Poor implementation,Integration issues","Tax Technology Specialist,IT Consultant","Software Selection,Implementation","Assess needs,Select software,Implement,Train","Evaluate tools,Implement software,Automate processes",Active,Approved,1,1.0,2025-07-16 18:27:19,3.0,"['Software Implementation', 'Automation', 'Digital Tools']",2.0
Mergers and Acquisitions,Mergers and Acquisitions,846.0,functional skills,tax controversy,Financial and Transaction Management,Transaction Due Diligence,"Perform reviews to verify details on investors, investments, products and deals prior to finalising transactions",ACC-MAC-2016-1.1,"[""Dispute Resolution"",""Appeal Management"",""Representation""]",https://en.wikipedia.org/wiki/Tax_avoidance,"[""Tax Controversy"",""Dispute Resolution"",""Appeals""]",4.0,"Case Management,Representation","Tax Law Certification,CA",Handling tax disputes and appeals,High-demand,High,Income Tax Act and appellate procedures,https://www.icai.org/,"Dispute Resolution Success,Time Taken","Poor documentation,Legal errors","Tax Lawyer,Representative","Case Preparation,Representation","Prepare case,Represent,Resolve","Gather evidence,Prepare appeals,Represent clients",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Dispute Resolution', 'Appeal Management', 'Representation']",3.0
General Management,General Management,857.0,functional skills,transfer pricing,Financial and Transaction Management,Capital Expenditure and Investment Evaluation,"Assess investments based on alignment with strategies, affordability, acceptable returns and prioritisation of options",ACC-MAC-3002-1.1,"[""Pricing Analysis"",""Documentation"",""Compliance""]",https://en.wikipedia.org/wiki/Transfer_pricing,"[""Transfer Pricing"",""Documentation"",""Compliance""]",4.0,"Pricing Studies,Reports","Transfer Pricing Certification,CA",Conducting transfer pricing analysis and documentation,High-demand,High,Transfer pricing regulations and compliance,https://www.oecd.org/tax/transfer-pricing/,"Compliance Rate,Documentation Quality","Non-arms length pricing,Poor docs","Transfer Pricing Expert,Consultant","Pricing Analysis,Documentation","Analyze transactions,Set prices,Document","Study comparable prices,Set transfer prices,Prepare docs",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Pricing Analysis', 'Documentation', 'Compliance']",3.0
Management Accounting,Management Accounting,845.0,functional skills,international tax,Financial and Transaction Management,Cost Management,"Analyse, plan and manage costs for cost efficiency and expense reduction",ACC-MAC-3003-1.1,"[""Cross-border Taxation"",""Treaty Application"",""Planning""]",https://en.wikipedia.org/wiki/International_taxation,"[""International Tax"",""Treaties"",""Cross-border""]",4.0,"Tax Planning,Compliance","International Tax Certification,CA",Advising on international tax matters,High-demand,High,Tax treaties and international tax laws,https://www.ibfd.org/,"Tax Efficiency,Compliance Rate","Treaty misuse,Non-compliance","International Tax Advisor,Consultant","Treaty Research,Planning","Research treaties,Plan,Implement","Analyze treaties,Plan cross-border transactions,Comply",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Cross-border Taxation', 'Treaty Application', 'Planning']",3.0
Business Valuation,Business Valuation,839.0,functional skills,indirect tax,Financial and Transaction Management,Financial Analysis,Analyse the financial statements and data to provide insights about the financial performance and position of the organisation over time,ACC-MAC-3004-1.1,"[""GST Compliance"",""Indirect Tax Laws"",""Reporting""]",https://en.wikipedia.org/wiki/Indirect_tax,"[""Indirect Tax"",""GST"",""Compliance""]",4.0,"Return Filing,Compliance","GST Certification,CA",Managing indirect tax compliance and reporting,High-demand,High,GST Act and indirect tax regulations,https://www.gst.gov.in/,"Compliance Rate,Timeliness","Errors,Missed deadlines","GST Practitioner,Tax Consultant","Law Monitoring,Return Filing","Monitor laws,Prepare returns,File","Calculate GST,File returns,Claim credits",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['GST Compliance', 'Indirect Tax Laws', 'Reporting']",3.0
Management Accounting,Management Accounting,845.0,functional skills,corporate tax,Financial and Transaction Management,Financial Planning,Evaluate and develop budget in line with organisation's strategies and plans,ACC-MAC-3005-1.1,"[""Company Taxation"",""Compliance"",""Planning""]",https://en.wikipedia.org/wiki/Corporate_tax,"[""Corporate Tax"",""Compliance"",""Planning""]",4.0,"Tax Computation,Planning","CA,Corporate Tax Certification",Managing corporate tax matters for companies,High-demand,High,Companies Act and income tax laws apply,https://www.incometaxindia.gov.in/,"Tax Liability,Compliance Rate","Non-compliance,Missed payments","Corporate Tax Manager,Consultant","Tax Calculation,Planning","Compute tax,Plan,File returns","Calculate tax,Plan strategies,File returns",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Company Taxation', 'Compliance', 'Planning']",3.0
Restructuring and Insolvency,Restructuring and Insolvency,847.0,functional skills,m&a tax,Financial and Transaction Management,Cash Flow Management,Manage and maintain business units' cash flow by consolidating data and performing analysis on cash inflow and outflow,ACC-MAC-3011-1.1,"[""Deal Structuring"",""Tax Optimization"",""Transaction Support""]",https://en.wikipedia.org/wiki/Mergers_and_acquisitions,"[""M&A Tax"",""Deal Structuring"",""Optimization""]",5.0,"Deal Analysis,Structuring","M&A Tax Certification,CA",Providing tax support for M&A transactions,High-demand,High,Tax laws and regulatory approvals apply,https://www.investopedia.com/terms/m/merger.asp,"Tax Efficiency,Deal Success","Poor structuring,Tax costs","M&A Tax Advisor,Consultant","Deal Analysis,Structuring","Analyze deal,Structure,Optimize tax","Evaluate tax impact,Structure transaction,Optimize",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Deal Structuring', 'Tax Optimization', 'Transaction Support']",3.0
Restructuring and Insolvency,Restructuring and Insolvency,847.0,functional skills,tax risk management,Financial and Transaction Management,Claims Management,"Coordinate and carry out timely and accurate adjudication, validation and disbursement of claims proceeds to creditors",ACC-MAC-3012-1.1,"[""Risk Assessment"",""Control Implementation"",""Monitoring""]",https://en.wikipedia.org/wiki/Risk_management,"[""Tax Risk Management"",""Assessment"",""Controls""]",4.0,"Risk Assessments,Controls","Risk Management Certification,CA",Managing tax risks for organizations,High-demand,High,Compliance with tax risk regulations,https://www.icai.org/,"Risk Reduction,Compliance Rate","Ignoring risks,Poor controls","Tax Risk Manager,Consultant","Risk Identification,Control Implementation","Identify risks,Implement controls,Monitor","Assess tax risks,Implement controls,Monitor",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Risk Assessment', 'Control Implementation', 'Monitoring']",3.0
General Management,General Management,857.0,functional skills,esg tax,Financial and Transaction Management,Credit Risk Management,"Establishing the organisation's financial and credit policies and frameworks to identify, assess and manage the organisation's credit risk exposure",ACC-MAC-3013-1.1,"[""Sustainability Incentives"",""Green Tax"",""Compliance""]",https://en.wikipedia.org/wiki/Environmental_tax,"[""ESG Tax"",""Green Incentives"",""Compliance""]",4.0,"Tax Analysis,Planning","ESG Certification,CA",Advising on environmental and sustainability taxes,Emerging,Medium,Environmental laws and tax incentives,https://www.oecd.org/tax/,"Incentive Utilization,Compliance Rate","Missing incentives,Non-compliance","ESG Tax Advisor,Sustainability Consultant","Incentive Research,Planning","Research incentives,Plan,Comply","Identify green incentives,Plan strategies,Comply",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Sustainability Incentives', 'Green Tax', 'Compliance']",2.0
Restructuring and Insolvency,Restructuring and Insolvency,847.0,functional skills,transaction advisory,Financial and Transaction Management,Debt Restructuring,Assess processes to address risk of default on existing debt or evaluate opportunities to take advantage of lower available interest rates through debt restructuring,ACC-MAC-3014-1.1,"[""Deal Support"",""Due Diligence"",""Advisory Services""]",https://en.wikipedia.org/wiki/Transaction_advisory,"[""Transaction Advisory"",""Due Diligence"",""Deal Support""]",4.0,"Due Diligence,Advisory","Transaction Advisory Certification,CA",Providing advisory services for transactions,High-demand,High,Corporate and securities regulations apply,https://www.investopedia.com/terms/t/transaction.asp,"Deal Success,Advisory Quality","Incomplete due diligence,Poor advice","Transaction Advisor,Consultant","Due Diligence,Advisory","Conduct diligence,Advise,Support deal","Perform due diligence,Advise on transactions,Support deals",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Deal Support', 'Due Diligence', 'Advisory Services']",3.0
Restructuring and Insolvency,Restructuring and Insolvency,847.0,functional skills,due diligence,Financial and Transaction Management,Restructuring Insolvency Advisory,Advise on restructuring and insolvency processes to ensure statutory deadlines are met and review the treatment of debtors to align with insolvency proceedings,ACC-MAC-3015-1.1,"[""Investigation"",""Risk Assessment"",""Reporting""]",https://en.wikipedia.org/wiki/Due_diligence,"[""Due Diligence"",""Investigation"",""Risk Assessment""]",4.0,"Diligence Projects,Reports","Due Diligence Certification,CA",Conducting due diligence for transactions,High-demand,High,Legal and regulatory compliance requirements,https://www.investopedia.com/terms/d/duediligence.asp,"Risk Identification,Report Accuracy","Overlooking risks,Poor reporting","Due Diligence Expert,Consultant","Data Collection,Analysis","Gather data,Analyze risks,Report","Collect information,Assess risks,Prepare report",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Investigation', 'Risk Assessment', 'Reporting']",3.0
General Management,General Management,857.0,functional skills,deal structuring,Internal Audit,Internal Audit Engagement Planning,Determine priorities of the internal audit and plan the timing and scope of audit procedures and resources,ACC-IAD-3005-1.1,"[""Transaction Design"",""Optimization"",""Implementation""]",https://en.wikipedia.org/wiki/Deal_structure,"[""Deal Structuring"",""Transaction Design"",""Optimization""]",5.0,"Deal Structuring,Modeling","Investment Banking Courses,CA",Structuring transactions for optimal outcomes,High-demand,High,Company law and regulatory requirements,https://www.investopedia.com/terms/d/deal-structure.asp,"Deal Efficiency,Success Rate","Poor structure,Regulatory issues","Investment Banker,Deal Structurer","Structure Design,Implementation","Design structure,Optimize,Implement","Design deal terms,Optimize structure,Execute",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Transaction Design', 'Optimization', 'Implementation']",3.0
Internal Audit,Internal Audit,844.0,functional skills,deal execution,Internal Audit,Due Professional Care,Apply care and skill expected of a prudent and competent internal auditor,ACC-IAD-3009-1.1,"[""Transaction Implementation"",""Coordination"",""Closure""]",https://en.wikipedia.org/wiki/Mergers_and_acquisitions,"[""Deal Execution"",""Implementation"",""Closure""]",4.0,"Deal Management,Coordination","M&A Certification,CA",Executing and closing transactions,High-demand,High,Legal and regulatory closing requirements,https://www.investopedia.com/terms/m/merger.asp,"Deal Timeliness,Success Rate","Poor coordination,Missed deadlines","Deal Manager,Transaction Lead","Execution,Coordination","Execute plan,Coordinate,Close","Coordinate parties,Execute agreements,Close deal",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Transaction Implementation', 'Coordination', 'Closure']",3.0
Internal Audit,Internal Audit,844.0,functional skills,post-deal integration,Internal Audit,Internal Audit Engagement Execution,"Execute and review internal audit engagements, document and communicate findings in accordance with the International Professional Practices Framework",ACC-IAD-4004-1.1,"[""Merger Integration"",""Synergy Realization"",""Coordination""]",https://en.wikipedia.org/wiki/Post-merger_integration,"[""Post-deal Integration"",""Synergy"",""Coordination""]",5.0,"Integration Planning,Execution","M&A Certification,CA",Managing integration after transaction closure,High-demand,High,Employment and operational regulations apply,https://www.investopedia.com/terms/p/post-mergerintegration.asp,"Integration Success,Synergy Achievement","Poor planning,Cultural issues","Integration Manager,Consultant","Planning,Execution,Monitoring","Plan integration,Execute,Monitor","Develop integration plan,Execute,Realize synergies",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Merger Integration', 'Synergy Realization', 'Coordination']",3.0
Internal Audit,Internal Audit,844.0,functional skills,corporate strategy,Internal Audit,Internal Audit Function Management,Develop and manage the Internal Audit function,ACC-IAD-4006-1.1,"[""Strategic Planning"",""Growth Initiatives"",""Implementation""]",https://en.wikipedia.org/wiki/Corporate_strategy,"[""Corporate Strategy"",""Planning"",""Growth""]",5.0,"Strategic Plans,Analysis","MBA,Strategy Courses",Developing corporate strategy for organizations,High-demand,Medium,Corporate governance and compliance,https://hbr.org/topic/corporate-strategy,"Strategy Effectiveness,Growth Achievement","Poor analysis,Incorrect direction","Strategy Director,Consultant","Analysis,Planning,Implementation","Analyze environment,Develop strategy,Implement","Research markets,Develop strategies,Execute",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Strategic Planning', 'Growth Initiatives', 'Implementation']",2.0
Internal Audit,Internal Audit,844.0,functional skills,corporate finance,Internal Audit,Internal Audit Quality Assurance,Develop the Quality Assurance and Improvement Programme,ACC-IAD-4007-1.1,"[""Capital Management"",""Financing"",""Investment Decisions""]",https://en.wikipedia.org/wiki/Corporate_finance,"[""Corporate Finance"",""Capital Management"",""Investments""]",4.0,"Financial Analysis,Planning","CFA,Corporate Finance Courses",Managing corporate finance and investments,High-demand,High,Companies Act and financial regulations,https://www.cfainstitute.org/,"Financial Performance,Investment Returns","Poor decisions,Over-leverage","Finance Manager,CFO","Analysis,Decision Making","Analyze options,Decide,Implement","Evaluate investments,Arrange financing,Manage capital",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Capital Management', 'Financing', 'Investment Decisions']",3.0
Management Accounting,Management Accounting,845.0,functional skills,corporate development,"Risk, Compliance and Governance",Audit Compliance,Ensure compliance with corporate policies and guidelines,ACC-AUD-3002-1.1,"[""Growth Strategies"",""M&A"",""Strategic Initiatives""]",https://en.wikipedia.org/wiki/Corporate_development,"[""Corporate Development"",""Growth"",""M&A""]",5.0,"Development Plans,Initiatives","Corporate Development Courses,MBA",Driving corporate development and growth,High-demand,Medium,Competition law and regulatory approvals,https://www.investopedia.com/terms/c/corporatedevelopment.asp,"Growth Achievement,Deal Success","Poor strategy,Failed deals","Corporate Development Manager,Director","Strategy,Execution","Develop strategy,Execute initiatives","Identify opportunities,Execute deals,Grow business",Active,Approved,1,1.0,2025-07-16 18:27:19,5.0,"['Growth Strategies', 'M&A', 'Strategic Initiatives']",2.0
Assurance,Assurance,838.0,functional skills,corporate governance,"Risk, Compliance and Governance",Risk Assessment,"Perform assessment of risks, including fraud risks, through understanding the client's business",ACC-AUD-4010-1.1,"[""Governance Frameworks"",""Compliance"",""Ethical Practices""]",https://en.wikipedia.org/wiki/Corporate_governance,"[""Corporate Governance"",""Compliance"",""Ethics""]",4.0,"Governance Reviews,Compliance",Corporate Governance Certification,Implementing corporate governance practices,High-demand,High,Companies Act and governance regulations,https://www.icai.org/,"Compliance Rate,Governance Quality","Non-compliance,Poor practices","Governance Officer,Company Secretary","Policy Development,Implementation","Develop policies,Implement,Monitor","Set governance policies,Ensure compliance,Monitor",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Governance Frameworks', 'Compliance', 'Ethical Practices']",3.0
Enterprise Risk Management,Enterprise Risk Management,840.0,functional skills,investor relations,"Risk, Compliance and Governance",Regulatory Risk Assessment,Analyse the impact of latest global regulatory developments and relevant laws on overall audit and/or engagement strategies,ACC-BLR-4002-1.1,"[""Stakeholder Communication"",""Reporting"",""Engagement""]",https://en.wikipedia.org/wiki/Investor_relations,"[""Investor Relations"",""Communication"",""Engagement""]",4.0,"Communication Plans,Reports",Investor Relations Certification,Managing investor relations for organizations,High-demand,High,SEBI and disclosure regulations apply,https://www.investopedia.com/terms/i/investorrelations.asp,"Investor Satisfaction,Disclosure Compliance","Poor communication,Non-disclosure","Investor Relations Manager,Director","Communication,Reporting","Develop messages,Communicate,Engage","Prepare reports,Conduct meetings,Engage investors",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Stakeholder Communication', 'Reporting', 'Engagement']",3.0
Financial Accounting,Financial Accounting,841.0,functional skills,capital markets,"Risk, Compliance and Governance",Regulatory Strategy,Align regulatory activities with business strategies,ACC-BLR-5003-1.1,"[""Market Analysis"",""Financing"",""Investment Management""]",https://en.wikipedia.org/wiki/Capital_market,"[""Capital Markets"",""Financing"",""Investments""]",4.0,"Market Analysis,Transactions","Capital Markets Courses,CFA",Understanding and accessing capital markets,High-demand,High,SEBI and capital market regulations,https://www.investopedia.com/terms/c/capitalmarkets.asp,"Market Access,Financing Cost","Regulatory non-compliance,Poor timing","Capital Markets Expert,Investment Banker","Market Research,Execution","Research markets,Execute transactions","Analyze markets,Arrange financing,Issue securities",Active,Approved,1,1.0,2025-07-16 18:27:19,4.0,"['Market Analysis', 'Financing', 'Investment Management']",3.0
