"department","sub_department","department_id","category","sub_category","micro_category","title","description","skill_code","related_skills","bussiness_links","custom_tags","proficiency_level","job_titles","learning_resources","assesment_method","certification_qualifications","experience_project","skill_maps","skill_status","skill_importance","legal_compliance_relevance","sop_practice_link","performance_metrics","common_errors_tips","sme_contacts","sub_skills","skill_flow","tasklist","status","approve_status","sub_institute_id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at"
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Construction Methods","Construction Methods","Commissioning and Start-up Management","Manage the commissioning and start-up of new or modified equipment, components and systems into operational modes","BEV-EPM-2001-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Construction Methods","Construction Methods","Construction Technology","Identify and apply the most suitable and effective construction processes and technologies to achieve project objectives","BEV-TEM-2032-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Design","Design","Architecture Design","Utilise holistic design approaches for the conceptualisation, development and enhancement of design solutions","BEV-DES-2046-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Design","Design","Computational Design","Use programming and computational strategies for design processes to enable design optioneering, automation and optimisation","BEV-DES-2048-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Design","Design","Facade Design","Design façades to achieve high performance and sustainable building envelope","BEV-DES-2049-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Design","Design","Lighting Design Optimisation","Optimise lighting designs to create better ambiences while achieving energy efficiency, sustainability and maintainability results","BEV-DES-2050-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Design","Design","Aesthetic and Design Sensibility","Imagine and develop novel, relevant and appropriate aesthetics to engage and evoke accurate and appropriate emotional and sensorial responses from target audiences","BEV-DES-3022-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Design","Design","Cultural, Heritage and Socio-economic Sensitivity for Design","Develop appreciation and thorough understanding of cultural, heritage and social-economic aspects of landscape sites and their associated communities to reflect considerations of such sensitivities in design","BEV-DES-3034-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Design","Design","Biophilic Design in Built Environment","Design buildings with the objective of connecting nature using natural elements to the built environment","BEV-DES-4047-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Design","Design","Placemaking and Programming of Spaces","Adopt multi-faceted approaches to the planning and design of spaces","BEV-DES-4051-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Discipline Engineering Specialisation","Discipline Engineering Specialisation","Civil and Structural Engineering Management","Manage the design, technical specification, selection, modification and troubleshooting of civil structures and systems to provide civil and structural engineering discipline support to construction, maintenance and project teams","BEV-EPM-4061-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Discipline Engineering Specialisation","Discipline Engineering Specialisation","Geotechnical Engineering Management","Manage the design, technical specification, selection, modification and troubleshooting of geotechnical equipment, structures and systems to provide geotechnical engineering discipline support to construction, maintenance and project teams","BEV-EPM-4062-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Discipline Engineering Specialisation","Discipline Engineering Specialisation","Structural Testing","Execute non-destructive structural tests to ensure integrity and reliability of structural components against standards and product specifications based on determined test methods, criteria, equipment and timeframe","BEV-QUA-2020-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Engineering Design Management","Engineering Design Management","Design for Maintainability","Apply Design for Maintainability (DfM) principles throughout the project lifecycle to ensure effectiveness, safety and economies of scale for maintenance tasks","BEV-DES-1053-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Digital Delivery Management","Digital Delivery Management","888","Technical Skills","Engineering Design Management","Engineering Design Management","Design for Manufacturing and Assembly","Apply Design for Manufacturing and Assembly (DfMA) principles throughout construction project lifecycle to ensure effectiveness, safety and economies of scale for manufacturing and assembly","BEV-DES-1054-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Engineering Design Management","Engineering Design Management","Design for Safety","Develop designs and solutions to ensure compliance with Design for Safety (DfS) regulations while safeguarding the safety and health of users, stakeholders and the general public","BEV-DES-2033-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Engineering Design Management","Engineering Design Management","Air Conditioning and Mechanical Ventilation System Design","Design cost-effective and efficient air conditioning and mechanical ventilation systems","BEV-DES-2052-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Engineering Design Management","Engineering Design Management","Electrical Systems Design","Design cost effective and energy-efficient electrical systems","BEV-DES-2055-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Engineering Design Management","Engineering Design Management","Fire Protection System Design","Design fire protection system incorporating holistic fire protection features in accordance with fire safety requirement","BEV-DES-2056-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Engineering Design Management","Engineering Design Management","Lifts and Escalators Systems Design","Design energy-efficient lifts and escalators","BEV-DES-2057-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Engineering Design Management","Engineering Design Management","Lightning Protection Systems Design","Design lightning protection systems incorporating safety features and standards","BEV-DES-2058-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Engineering Design Management","Engineering Design Management","Natural Ventilation Design","Manage the design processes for effective natural ventilation in tropical and sub-tropical climates","BEV-DES-2059-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Engineering Design Management","Engineering Design Management","Design Standards and Specification","Apply knowledge of relevant standards that govern the design requirements, and deliver design specifications according to the required standards","BEV-DES-3027-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Engineering Design Management","Engineering Design Management","Solar Photovoltaic Systems Designs","Oversee design of solar Photovoltaic (PV) systems according to project requirements and site constraints","BEV-EPM-2058-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Engineering Design Management","Engineering Design Management","Plumbing, Sanitary, Drainage and Gas Systems Design","Apply hydraulic and fluid dynamics principles to design efficient plumbing, sanitary, drainage and gas systems by understanding principles of fluid flow, interaction between fluid layers and pipe materials, and losses in transmission","BEV-EPM-2069-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Environment Management","Environment Management","Green Facilities Management","Manage facility operations and maintenance to minimise environmental impact and operational costs efficiently","BEV-ENV-1004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management","Construction Management","886","Technical Skills","Environment Management","Environment Management","Green Building Strategy Implementation","Develop environmental sustainability plans throughout the building lifecycle through the development, implementation and review of sustainability strategies to enhance environmental performance","BEV-ENV-2003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Environment Management","Environment Management","Indoor Environmental Quality Improvement","Manage Indoor Environmental Quality (IEQ) through the identification and analysis of conditions inside buildings","BEV-ENV-2005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management","Construction Management","886","Technical Skills","Environment Management","Environment Management","Value Engineering","Apply value principles to minimise overall operational costs and waste without compromising the reliability, quality and performance","BEV-OPR-2024-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Environment Management","Environment Management","Value Analysis","Establish the organisational value stream, enhance value-add and reduce costs","BEV-VMA-3001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management","Construction Management","886","Technical Skills","Equipment Management","Equipment Management","Equipment and Systems Installation and Commissioning Management","Manage installation and testing to determine readiness for commissioning of systems","BEV-SEM-2002-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Feasibility Assessment","Feasibility Assessment","Site Assessment and Analysis","Plan and execute assessments of project sites to evaluate suitability for built environment operations","BEV-ACE-3026-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Feasibility Assessment","Feasibility Assessment","Solar Photovoltaic Energy Assessment","Assess feasibility of solar Photovoltaic (PV) installations for buildings based on location and energy assessments","BEV-EPM-3057-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Feasibility Assessment","Feasibility Assessment","Project Feasibility Assessment","Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project","BEV-PMT-4009-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management","Construction Management","886","Technical Skills","Incident Management","Incident Management","Emergency Response Management","Manage emergency response plans for the range of contingencies affecting work operations such as fire, explosion, power failure, chemical spillage, leakages, collapses, flooding, falling from height and other types of emergencies","BEV-WSH-2022-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management","Construction Management","886","Technical Skills","Incident Management","Incident Management","Incident and Accident Investigation","Investigate workplace incidents and accidents based on root cause analysis and identification of corrective actions to prevent recurrences","BEV-WSH-2023-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Information Technology Management","Information Technology Management","Common Data Environment Management","Implement Common Data Environment (CDE) to improve the management of data and information to facilitate decision making and increase the efficiency of project delivery","BEV-DIT-2030-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Digital Delivery Management","Digital Delivery Management","888","Technical Skills","Information Technology Management","Information Technology Management","Applications Integration","Integrate data or functions from one application program with that of another application program - involves development of an integration plan, programming and the identification and utilisation of appropriate middleware to optimise the connectivity and performance of disparate applications across target environments","BEV-DIT-3003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Information Technology Management","Information Technology Management","Cybersecurity","Understand, develop and apply cybersecurity policies and procedures to ensure protection against cybersecurity risks and vulnerabilities, and to respond to cybersecurity breaches","BEV-ICT-3006-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Maintenance","Maintenance","Electrical and Electronic Systems Maintenance","Implement corrective and preventive maintenance of electrical and electronic systems","BEV-AMT-1005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Maintenance","Maintenance","Air Conditioning and Mechanical Ventilation Systems Maintenance","Implement preventive and corrective maintenance of air-conditioning and mechanical ventilation systems","BEV-MAI-1087-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Maintenance","Maintenance","Escalator and Travellator Systems Maintenance and Management","Implement preventive and corrective maintenance of escalator and travellator systems","BEV-MAI-1088-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Maintenance","Maintenance","Fire Protection System Maintenance","Implement preventive and corrective maintenance of fire protection system","BEV-MAI-1089-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Maintenance","Maintenance","Lift Systems Maintenance and Management","Implement preventive and corrective maintenance of lift systems","BEV-MAI-1090-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Maintenance","Maintenance","Smart Facilities Management","Integrate digital technologies and smart automation into facility operations and maintenance to optimise efficiency and performance","BEV-MAI-1091-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Maintenance","Maintenance","Maintenance Scheduling","Plan and manage maintenance schedules in accordance with the organisational standards and Original Equipment Manufacturer's recommendations","BEV-MAI-3028-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Maintenance","Maintenance","Civil Structure Maintenance","Implement preventive and corrective maintenance of civil structures","BEV-RSM-1004-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Maintenance","Maintenance","Drainage, Plumbing and Sanitary Systems Maintenance","Implement preventive and corrective maintenance of drainage, plumbing and sanitary systems","BEV-RSM-1008-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","People Development and Management","People Development and Management","People Management","Manage the recruitment, performance and development of staff","BEV-PDV-3045-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Process Improvement","Process Improvement","Continuous Improvement Management","Apply continuous improvement plans to optimise cost, task efficiency and effectiveness of processes and procedures","BEV-BIN-2034-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Process Improvement","Process Improvement","Process Unit and Utilities Operations Management","Operate, monitor and control process units and utilities in order to manage process operations and planning to meet organisational business targets","BEV-OPR-1032-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Process Improvement","Process Improvement","Process Operations Troubleshooting","Perform a structured approach in process operations troubleshooting by using appropriate tools, techniques and engineering documents to identify and locate causes of problems and correct them in a safe and reliable manner","BEV-OPR-2030-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Procurement Management","Procurement Management","Contract Administration and Management","Develop contracts to determine suitable conditions of contract, and optimise the contract administration and management process taking into consideration the nature of the project","BEV-SRM-2011-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Procurement Management","Procurement Management","Procurement Coordination and Policy Development","Design and implement procurement strategy and workflow to govern activities relating to sourcing and purchasing of materials as required to deliver on project expectations","BEV-SRM-3003-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Facilities Management","Facilities Management","890","Technical Skills","Procurement Management","Procurement Management","Inventory Management","Formulate and implement inventory management strategies targeted at ensuring availability of equipment, tools and materials for engineering projects for the purpose of construction, operations and maintenance works","BEV-SRM-3013-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Production Management","Production Management","Engineering Support Management","Provide discipline engineering technical support and expertise in technical specifications, modifications, asset integrity and troubleshooting of engineering equipment and systems, to production, maintenance and project teams","BEV-EPM-4018-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Production Management","Production Management","Yield Analysis","Apply yield analysis processes and techniques to monitor and drive process yield improvements","BEV-MPR-3005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Production Management","Production Management","Plant Economic Modelling","Develop plant economic models for current operations, and growth scenarios according to business plans, to forecast optimal plant and economic configurations for supply and demand","BEV-OPR-4053-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management","Construction Management","886","Technical Skills","Production Management","Production Management","Workflow Management","Manage operations to ensure timely and quality delivery of construction outcomes","BEV-OPR-4068-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Production Management","Production Management","Material Studies and Production Processes","Administer the study of material properties and applications to facilitate production, construction, engineering and processing of materials into specific designs","BEV-PMN-3021-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management","Construction Management","886","Technical Skills","Production Management","Production Management","Transportation Route and Schedule Planning","Optimise transportation resources for route scheduling and dispatching using vehicle fleet management systems","BEV-TRM-1003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Production Management","Production Management","Warehouse Space Utilisation","Optimise spaces for storage of items in warehouses","BEV-WAM-3005-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Project Management","Project Management","Regulatory Submission and Clearance","Manage the processes for obtaining the required project approvals, permits, and the compliance to regulatory conditions","BEV-CGP-3022-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Project Management","Project Management","Dispute Resolution","Manage disputes by implementing appropriate resolution approaches to find solutions to disagreements","BEV-LPM-4003-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Project Management","Project Management","Project Risk Management","Manage risks relating to specific projects as precaution against internal and external vulnerabilities","BEV-PMT-3005-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Quality Management","Quality Management","Process Control","Apply process control to monitor and optimise process plant performance and quality of production output","BEV-MPR-3001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Quality Management","Quality Management","Materials Qualification","Manage the quality of materials to ensure material specifications conform to product requirements","BEV-QUA-2011-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management","Construction Management","886","Technical Skills","Quality Management","Quality Management","Technical Inspection","Execute formal inspection exercises to ensure quality, safety, and reliability adhering with technical specifications and compliance requirements","BEV-QUA-2021-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Quality Management","Quality Management","Product Testing Management","Develop product testing protocols and procedures based on product specifications to test and determine the full characteristics of product profiles","BEV-RND-2004-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Technical Drawing","Technical Drawing","3D Modelling","Generate 3D models using a variety of modelling software to represent characteristics of a real-world system","BEV-DES-2032-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Technical Drawing","Technical Drawing","Design Sketching","Communicate and visualise ideas and designs in accurate form, perspective and proportion through drawing","BEV-DES-3026-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Engineering Consultancy and Design","Engineering Consultancy and Design","889","Technical Skills","Technical Drawing","Technical Drawing","Engineering Drawing and Design Specifications","Create design specifications and technical drawings to guide installation and construction works","BEV-TDR-2006-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Technical Drawing","Technical Drawing","Technical Drawing","Manage the composition of precise and detailed drawings and specifications that visually communicate how designs function, or are produced, to guide the construction","BEV-TDR-3005-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Technology Management","Technology Management","Technology Scanning","Review new developments in emerging technology as well as evaluate and determine relevance of emerging technologies to the organisation","BEV-ICT-2001-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Digital Delivery Management","Digital Delivery Management","888","Technical Skills","Technology Management","Technology Management","Application Support and Enhancement","Provide ongoing technical support and improvements to users of applications including technical guidance and assistance related to the installation and maintenance of applications","BEV-OUS-1001-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Digital Delivery Management","Digital Delivery Management","888","Technical Skills","Technology Management","Technology Management","Emerging Technology Synthesis","Monitor, gather data and identify emerging technology trends, developments, products, services and techniques for integration and perform cost-benefit analysis and evaluation of their relevance, viability, sustainability and potential value add to the business","BEV-SNA-3011-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Digital Delivery Management","Digital Delivery Management","888","Technical Skills","Technology Management","Technology Management","Systems Integration","Realise the system-of-interest by progressively combining system elements in accordance with design requirements and the integration strategy","BEV-SYS-3006-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Technology Management","Technology Management","Integrated Digital Delivery Application","Drive the adoption, integration and implementation of Integrated Digital Delivery (IDD) technologies to manage projects and building life-cycle efficiently from digital design, digital fabrication, digital construction to digital asset delivery and management","BEV-TEM-2033-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Architectural Consultancy and Design","Architectural Consultancy and Design","885","Technical Skills","Technology Management","Technology Management","Building Information Modelling Application","Use Building Information Modelling to make design, project and operational information accurate, accessible and actionable","BEV-TEM-3027-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Digital Delivery Management","Digital Delivery Management","888","Technical Skills","Technology Management","Technology Management","Technology Road Mapping","Plan short-term and long-term goals with specific technology solutions to help meet those goals in order to make capital out of future market needs","BEV-TEM-5005-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management (Production)","Construction Management (Production)","887","Technical Skills","Workplace Safety and Health (WSH) Management","Workplace Safety and Health (WSH) Management","Engineering Safety Standards Interpretation","Design and implement appropriate safety and safeguarding engineering solutions standards in accordance with legislative requirements and industry best practices","BEV-EPM-3017-1.1-1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"Construction Management","Construction Management","886","Technical Skills","Workplace Safety and Health (WSH) Management","Workplace Safety and Health (WSH) Management","Workplace Safety and Health Culture Development","Create and maintain a Workplace Safety and Health culture based on a common set of attitudes, behaviours and competencies","BEV-WSH-2034-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Advisory","Advisory","Carbon Pricing Policy Advisory","Provide expertise on the carbon pricing mechanisms (e.g. emissions trading system, carbon tax) in different jurisdictions, advising organisations or countries with a global carbon footprint on appropriate carbon pricing policies to achieve emissions reduction. Evaluate the impact and effectiveness of carbon pricing policies on the organisation or nation?s emissions activities and sustainability goals.","CST-ADV-0021-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
"General Management","General Management","857","Technical Skills","Advisory","Advisory","Carbon Reporting","Collect emissions data and disclose an organisation?s greenhouse gas (GHG) emissions in accordance with carbon reporting standards to provide transparency and accountability regarding their environmental impact. Identify emission hotspots, while ensuring compliance with industry and regulatory requirements and standards.","CST-ADV-0022-1.1",,,,,,,,,,,,,,,,,,,,,"Active","Approved","1","1",,,"2025-07-16 18:27:19",,
